LONELY_dejong_emotional_social_loneliness_scale_score,WELLNESS_subjective_happiness_scale_score,CONNECTION_social_time_friends_p7d,PSYCH_relational_needs_satisfaction_scale_7pt_total_score,WELLNESS_subjective_happiness_scale_score
0,NA,2,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
5,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
6,NA,13,NA,NA
NA,NA,NA,NA,NA
3,NA,1,NA,NA
0,6.25,NA,NA,6.25
NA,NA,NA,NA,NA
1,NA,4,NA,NA
NA,NA,2,NA,NA
1,NA,NA,NA,NA
6,NA,0,NA,NA
6,NA,0,NA,NA
4,3.25,NA,NA,3.25
3,5.5,NA,NA,5.5
5,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,NA,15,NA,NA
3,6,NA,NA,6
1,NA,1,NA,NA
3,NA,5,NA,NA
NA,NA,NA,NA,NA
2,6.25,NA,NA,6.25
4,5.25,0,NA,5.25
4,3.75,NA,NA,3.75
5,NA,12,NA,NA
NA,NA,NA,NA,NA
2,NA,NA,NA,NA
3,2.75,NA,NA,2.75
2,NA,0,NA,NA
2,NA,5,NA,NA
NA,NA,NA,NA,NA
6,NA,6,NA,NA
NA,NA,9,NA,NA
1,5.25,9,6.2,5.25
3,6.25,NA,NA,6.25
2,6.5,15,NA,6.5
4,NA,NA,NA,NA
1,6.5,3,5.7,6.5
1,6.25,3,NA,6.25
1,NA,10,NA,NA
6,NA,6,NA,NA
6,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
5,3.75,NA,NA,3.75
1,3.5,NA,NA,3.5
4,3,1,NA,3
5,1,NA,NA,1
4,1.5,0,3.45,1.5
0,NA,6,NA,NA
NA,NA,NA,NA,NA
1,NA,3,NA,NA
5,3.75,NA,NA,3.75
4,NA,4,NA,NA
5,NA,0,NA,NA
6,NA,2,NA,NA
6,3.25,4,NA,3.25
6,4.5,NA,NA,4.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,5.25,NA,NA,5.25
5,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
5,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,NA,3,NA,NA
5,NA,5,NA,NA
6,5,NA,NA,5
0,NA,3,NA,NA
4,NA,4,NA,NA
3,5.25,NA,NA,5.25
6,5.5,NA,NA,5.5
3,NA,4,NA,NA
6,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,NA,0,NA,NA
4,4.5,NA,NA,4.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,NA,NA,NA,NA
4,6.25,NA,NA,6.25
5,4.25,NA,NA,4.25
4,4.5,9,NA,4.5
3,NA,13,NA,NA
2,NA,4,NA,NA
5,NA,0,NA,NA
6,4.75,NA,NA,4.75
5,5,5,4.05,5
1,4.5,6,NA,4.5
NA,NA,12,NA,NA
2,NA,2,NA,NA
0,NA,8,NA,NA
5,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,2.25,NA,NA,2.25
NA,NA,NA,NA,NA
2,5.25,NA,NA,5.25
5,NA,2,NA,NA
2,NA,NA,NA,NA
4,NA,8,NA,NA
4,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
NA,NA,0,NA,NA
5,4.25,NA,NA,4.25
5,4.25,NA,NA,4.25
4,4,NA,NA,4
6,NA,0,NA,NA
6,NA,5,NA,NA
5,NA,25,NA,NA
5,NA,46,NA,NA
5,NA,0,NA,NA
3,6,NA,NA,6
NA,NA,NA,NA,NA
6,4.75,NA,NA,4.75
3,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,5,NA,NA
4,NA,5,NA,NA
NA,NA,NA,NA,NA
5,NA,2,NA,NA
5,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,11,NA,NA
5,4.5,NA,NA,4.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,80,NA,NA
NA,NA,NA,NA,NA
6,4.75,NA,NA,4.75
0,NA,4,NA,NA
NA,NA,0,NA,NA
6,NA,2,NA,NA
6,2.5,NA,NA,2.5
3,6.5,NA,NA,6.5
4,4.25,2,5.7,4.25
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,6.25,NA,NA,6.25
NA,NA,NA,NA,NA
6,NA,13,NA,NA
6,4.5,NA,NA,4.5
6,3,0,3.35,3
5,NA,0,NA,NA
6,3.75,NA,NA,3.75
2,6,NA,NA,6
2,4.75,2,NA,4.75
3,NA,3,NA,NA
6,NA,0,NA,NA
NA,NA,4,NA,NA
4,3.5,NA,NA,3.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
6,NA,0,NA,NA
6,NA,10,NA,NA
NA,NA,NA,NA,NA
6,6.25,0,5.85,6.25
3,6.25,1,NA,6.25
4,5.75,NA,NA,5.75
4,4.5,NA,NA,4.5
5,NA,0,NA,NA
2,1,NA,NA,1
NA,NA,NA,NA,NA
5,3,NA,NA,3
1,5.5,NA,NA,5.5
5,3.25,NA,NA,3.25
5,NA,1,NA,NA
NA,4.5,NA,NA,4.5
2,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
2,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
5,NA,0,NA,NA
6,5,NA,NA,5
5,4.5,NA,NA,4.5
NA,NA,NA,NA,NA
3,NA,6,NA,NA
5,NA,7,NA,NA
6,NA,1,NA,NA
5,5,NA,NA,5
NA,NA,6,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
0,NA,0,NA,NA
2,4.75,NA,NA,4.75
NA,NA,5,NA,NA
6,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,NA,2,NA,NA
5,NA,NA,NA,NA
NA,NA,7,NA,NA
1,7,NA,NA,7
4,6.5,NA,NA,6.5
5,NA,8,NA,NA
5,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
3,NA,8,NA,NA
2,6.75,15,5.55,6.75
0,6.75,12,NA,6.75
0,NA,14,NA,NA
0,6.5,NA,NA,6.5
6,NA,19,NA,NA
NA,NA,NA,NA,NA
4,NA,4,NA,NA
NA,NA,2,NA,NA
6,NA,4,NA,NA
2,NA,4,NA,NA
4,NA,2,NA,NA
2,6.25,NA,NA,6.25
1,5.5,1,NA,5.5
1,NA,NA,NA,NA
3,7,NA,NA,7
2,6.25,16,NA,6.25
5,NA,NA,NA,NA
5,4.25,NA,NA,4.25
1,NA,10,NA,NA
4,4.5,NA,NA,4.5
4,5,NA,NA,5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
1,NA,5,NA,NA
NA,NA,NA,NA,NA
3,3.25,NA,NA,3.25
5,NA,0,NA,NA
NA,NA,NA,NA,NA
6,1.5,NA,NA,1.5
4,NA,2,NA,NA
6,5,NA,NA,5
3,NA,20,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
3,NA,7,NA,NA
3,6,NA,NA,6
NA,5,NA,NA,5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
6,NA,0,NA,NA
1,NA,4,NA,NA
NA,NA,NA,NA,NA
2,NA,0,NA,NA
NA,NA,NA,NA,NA
3,4.5,NA,NA,4.5
6,NA,5,NA,NA
NA,NA,NA,NA,NA
3,NA,NA,NA,NA
3,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,1.5,11,4.6,1.5
5,2.25,NA,NA,2.25
4,2.5,11,NA,2.5
5,NA,0,NA,NA
NA,NA,NA,NA,NA
0,NA,0,NA,NA
1,4.75,NA,NA,4.75
NA,NA,1,NA,NA
NA,NA,NA,NA,NA
5,4,NA,NA,4
NA,NA,NA,NA,NA
5,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
4,4.75,NA,NA,4.75
2,NA,6,NA,NA
2,NA,4,NA,NA
2,NA,10,NA,NA
NA,NA,0,NA,NA
NA,NA,NA,NA,NA
5,NA,1,NA,NA
5,5,NA,NA,5
NA,NA,NA,NA,NA
3,NA,5,NA,NA
NA,NA,NA,NA,NA
5,NA,0,NA,NA
4,NA,0,NA,NA
NA,NA,3,NA,NA
3,5.5,NA,NA,5.5
3,4,24,5.3,4
6,5.25,NA,NA,5.25
6,3.75,0,NA,3.75
1,NA,30,NA,NA
4,4.75,NA,NA,4.75
4,2.5,NA,NA,2.5
6,NA,0,NA,NA
1,NA,3,NA,NA
NA,NA,NA,NA,NA
5,NA,35,NA,NA
3,NA,3,NA,NA
NA,NA,NA,NA,NA
6,NA,45,NA,NA
6,NA,7,NA,NA
3,NA,10,NA,NA
3,NA,4,NA,NA
3,5.5,NA,NA,5.5
6,NA,8,NA,NA
NA,NA,NA,NA,NA
3,NA,6,NA,NA
4,4,0,NA,4
3,NA,0,4.5,NA
5,4,NA,NA,4
6,2,NA,NA,2
6,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,4,NA,NA
2,5,NA,NA,5
NA,NA,NA,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
4,NA,0,NA,NA
1,3,NA,NA,3
6,NA,2,NA,NA
6,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,10,NA,NA
NA,NA,NA,NA,NA
2,4.25,0,5.6,4.25
5,3.75,NA,NA,3.75
6,NA,1,NA,NA
NA,NA,NA,NA,NA
3,NA,6,NA,NA
2,NA,6,NA,NA
1,7,NA,NA,7
NA,NA,NA,NA,NA
4,NA,2,NA,NA
5,4,NA,NA,4
NA,NA,NA,NA,NA
4,NA,0,NA,NA
NA,NA,NA,NA,NA
4,5,NA,NA,5
NA,NA,NA,NA,NA
4,NA,NA,NA,NA
NA,NA,13,NA,NA
3,NA,4,NA,NA
1,6.5,NA,NA,6.5
6,NA,2,NA,NA
NA,NA,0,NA,NA
6,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
5,5.75,NA,NA,5.75
5,NA,24,NA,NA
0,5.75,NA,NA,5.75
1,NA,8,NA,NA
1,NA,1,NA,NA
3,2.5,NA,NA,2.5
2,NA,2,NA,NA
5,4,NA,NA,4
5,NA,5,NA,NA
NA,NA,NA,NA,NA
4,NA,5,NA,NA
4,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,NA,3,NA,NA
1,5.25,NA,NA,5.25
NA,NA,8,NA,NA
6,NA,0,NA,NA
6,4.5,NA,NA,4.5
2,NA,5,NA,NA
2,NA,5,NA,NA
NA,NA,NA,NA,NA
3,NA,3,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
6,NA,2,NA,NA
NA,NA,NA,NA,NA
4,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
2,NA,6,NA,NA
6,2,2,NA,2
6,2.25,NA,NA,2.25
2,5.25,NA,NA,5.25
1,NA,10,NA,NA
6,3.75,NA,NA,3.75
NA,NA,0,NA,NA
NA,NA,NA,NA,NA
6,NA,10,NA,NA
5,NA,12,NA,NA
1,6.5,NA,NA,6.5
NA,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,6.5,NA,NA,6.5
4,NA,4,NA,NA
2,6.5,2,5.95,6.5
3,6.75,4,NA,6.75
5,5.25,NA,NA,5.25
3,5.5,NA,NA,5.5
4,4.75,1,NA,4.75
4,4.5,NA,NA,4.5
4,4,7,5.15,4
NA,NA,NA,NA,NA
0,NA,37,NA,NA
4,NA,8,NA,NA
2,NA,0,NA,NA
2,NA,3,NA,NA
NA,NA,NA,NA,NA
6,4.5,NA,NA,4.5
4,4.75,10,NA,4.75
5,4.75,NA,NA,4.75
5,NA,1,NA,NA
4,NA,14,NA,NA
NA,NA,NA,NA,NA
0,5.5,NA,NA,5.5
2,5.5,2,NA,5.5
2,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,NA,0,NA,NA
NA,NA,NA,NA,NA
3,NA,6,NA,NA
2,NA,4,NA,NA
5,NA,1,NA,NA
5,NA,4,NA,NA
NA,NA,NA,NA,NA
5,NA,20,NA,NA
2,NA,14,NA,NA
6,NA,0,NA,NA
NA,NA,6,NA,NA
NA,NA,2,NA,NA
2,NA,12,NA,NA
3,NA,0,NA,NA
3,5.25,NA,NA,5.25
3,NA,12,NA,NA
1,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,20,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,5,NA,NA
6,NA,3,NA,NA
NA,NA,3,NA,NA
1,NA,8,NA,NA
3,NA,5,NA,NA
6,NA,9,NA,NA
5,NA,4,NA,NA
NA,NA,63,NA,NA
6,NA,3,NA,NA
1,6.75,NA,NA,6.75
NA,NA,NA,NA,NA
0,NA,4,NA,NA
6,2.5,NA,NA,2.5
NA,NA,NA,NA,NA
0,NA,4,NA,NA
6,NA,7,NA,NA
5,5.5,NA,NA,5.5
3,NA,0,NA,NA
3,4.25,NA,NA,4.25
1,NA,15,NA,NA
4,4.75,NA,NA,4.75
6,NA,5,NA,NA
6,NA,1,NA,NA
NA,NA,10,NA,NA
5,NA,3,NA,NA
3,NA,30,NA,NA
5,3.75,NA,NA,3.75
5,NA,0,NA,NA
NA,NA,NA,NA,NA
3,3.5,NA,NA,3.5
NA,NA,NA,NA,NA
3,5,NA,NA,5
1,NA,2,NA,NA
3,NA,10,NA,NA
4,NA,5,NA,NA
6,5,NA,NA,5
4,NA,7,NA,NA
0,NA,12,NA,NA
6,4.75,15,NA,4.75
3,3.75,7,5.15,3.75
6,NA,6,NA,NA
5,NA,0,NA,NA
4,NA,3,NA,NA
NA,NA,1,NA,NA
4,NA,0,NA,NA
5,NA,10,NA,NA
4,NA,5,NA,NA
2,NA,0,NA,NA
3,NA,99,NA,NA
5,NA,0,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
2,NA,7,NA,NA
3,NA,0,NA,NA
NA,NA,NA,NA,NA
1,NA,3,NA,NA
0,NA,12,NA,NA
4,3,NA,NA,3
NA,NA,NA,NA,NA
6,NA,7,NA,NA
5,3,NA,NA,3
NA,NA,NA,NA,NA
4,NA,10,NA,NA
NA,NA,NA,NA,NA
6,1.75,NA,NA,1.75
6,NA,0,NA,NA
NA,NA,2,NA,NA
5,NA,2,NA,NA
NA,NA,NA,NA,NA
1,NA,5,NA,NA
2,4.5,NA,NA,4.5
2,NA,1,NA,NA
5,NA,0,NA,NA
6,2.75,NA,NA,2.75
6,NA,3,NA,NA
5,3.5,NA,NA,3.5
NA,NA,NA,NA,NA
0,NA,3,NA,NA
4,4,NA,NA,4
3,6.5,NA,NA,6.5
NA,NA,NA,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
6,4.25,NA,NA,4.25
6,3.5,NA,NA,3.5
3,NA,3,NA,NA
3,NA,7,NA,NA
NA,NA,NA,NA,NA
6,NA,5,NA,NA
1,NA,8,NA,NA
NA,NA,3,NA,NA
2,NA,4,NA,NA
3,4.25,NA,NA,4.25
4,NA,3,NA,NA
5,NA,NA,NA,NA
6,3.5,NA,NA,3.5
5,2.5,NA,NA,2.5
NA,NA,1,NA,NA
4,NA,5,NA,NA
5,NA,3,NA,NA
2,NA,0,NA,NA
NA,NA,NA,NA,NA
6,NA,7,NA,NA
NA,NA,NA,NA,NA
5,NA,7,NA,NA
NA,NA,NA,NA,NA
4,NA,3,NA,NA
NA,NA,NA,NA,NA
6,NA,3,NA,NA
NA,NA,NA,NA,NA
0,NA,16,NA,NA
4,NA,4,NA,NA
3,4.75,NA,NA,4.75
6,NA,0,NA,NA
5,NA,1,NA,NA
3,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
5,NA,0,NA,NA
0,NA,20,NA,NA
5,4.25,NA,NA,4.25
6,NA,3,NA,NA
NA,NA,NA,NA,NA
5,NA,1,NA,NA
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
NA,2.5,NA,NA,2.5
4,3.25,NA,NA,3.25
3,NA,2,NA,NA
NA,NA,NA,NA,NA
2,NA,1,NA,NA
5,3,NA,NA,3
NA,NA,NA,NA,NA
5,NA,0,NA,NA
2,NA,3,NA,NA
NA,NA,15,NA,NA
1,5.25,NA,NA,5.25
3,4,NA,NA,4
1,NA,1,NA,NA
6,NA,10,NA,NA
6,NA,NA,NA,NA
6,1.5,1,2.9,1.5
5,2.25,30,NA,2.25
5,NA,1,NA,NA
5,4,NA,NA,4
NA,NA,NA,NA,NA
5,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,NA,48,NA,NA
5,NA,5,NA,NA
4,NA,7,NA,NA
NA,NA,NA,NA,NA
4,NA,2,NA,NA
4,5.5,NA,NA,5.5
6,NA,5,NA,NA
6,2.75,1,3.8,2.75
6,3.25,0,NA,3.25
4,2.75,NA,NA,2.75
NA,NA,4,NA,NA
NA,NA,8,NA,NA
3,4,1,NA,4
2,4,NA,NA,4
4,4.25,8,5.3,4.25
4,3.75,2,NA,3.75
6,NA,1,NA,NA
NA,NA,NA,NA,NA
2,NA,2,NA,NA
2,NA,1,NA,NA
6,NA,11,NA,NA
4,NA,2,NA,NA
4,4.5,NA,NA,4.5
5,NA,1,NA,NA
NA,NA,NA,NA,NA
NA,NA,0,NA,NA
0,NA,15,NA,NA
5,3.75,NA,NA,3.75
NA,NA,1,NA,NA
NA,NA,NA,NA,NA
1,NA,3,NA,NA
6,NA,3,NA,NA
6,4,NA,NA,4
6,4.5,NA,NA,4.5
3,5.75,NA,NA,5.75
NA,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
3,NA,NA,NA,NA
6,NA,0,NA,NA
3,NA,3,NA,NA
1,NA,4,NA,NA
5,NA,0,NA,NA
4,4.75,NA,NA,4.75
6,NA,3,NA,NA
NA,NA,NA,NA,NA
2,NA,NA,NA,NA
1,NA,2,NA,NA
6,NA,5,NA,NA
6,4.75,NA,NA,4.75
0,NA,2,NA,NA
6,2.5,NA,NA,2.5
6,4,NA,NA,4
NA,NA,NA,NA,NA
6,NA,3,NA,NA
5,NA,1,NA,NA
NA,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,21,NA,NA
6,NA,10,NA,NA
5,NA,100,NA,NA
3,NA,123,NA,NA
NA,NA,NA,NA,NA
NA,NA,3,NA,NA
5,3.5,NA,NA,3.5
1,3.75,NA,NA,3.75
5,6.5,NA,NA,6.5
NA,NA,NA,NA,NA
5,3,NA,NA,3
3,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,5,NA,NA,5
6,NA,3,NA,NA
6,NA,2,NA,NA
5,2,NA,NA,2
5,3,0,NA,3
2,2.5,2,5.75,2.5
5,NA,0,NA,NA
NA,NA,NA,NA,NA
0,NA,10,NA,NA
3,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
1,4.5,7,NA,4.5
3,4.5,1,4.9,4.5
6,NA,1,NA,NA
NA,NA,5,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
2,NA,5,NA,NA
NA,NA,NA,NA,NA
6,2.5,NA,NA,2.5
6,3,0,NA,3
NA,NA,NA,NA,NA
6,NA,3,NA,NA
6,NA,4,NA,NA
NA,NA,NA,NA,NA
6,NA,5,NA,NA
6,NA,1,NA,NA
NA,NA,6,NA,NA
2,7,NA,NA,7
1,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,24,NA,NA
2,NA,4,NA,NA
0,5,3,NA,5
1,5,1,5.75,5
0,5.5,NA,NA,5.5
5,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
5,NA,7,NA,NA
4,5.25,NA,NA,5.25
4,NA,1,NA,NA
NA,NA,2,NA,NA
1,NA,20,NA,NA
6,NA,2,NA,NA
NA,NA,NA,NA,NA
5,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
1,NA,1,NA,NA
6,NA,0,NA,NA
NA,NA,6,NA,NA
6,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,6.75,NA,NA,6.75
3,NA,0,NA,NA
3,6.25,0,4.85,6.25
NA,NA,10,NA,NA
NA,NA,NA,NA,NA
0,NA,2,NA,NA
2,6.5,NA,NA,6.5
2,4.5,NA,NA,4.5
4,4.75,NA,NA,4.75
3,4.5,4,NA,4.5
2,4.25,NA,NA,4.25
3,5.25,2,5.05,5.25
4,NA,1,NA,NA
5,NA,0,NA,NA
6,2.5,NA,NA,2.5
4,NA,9,NA,NA
4,3.25,NA,NA,3.25
4,NA,0,NA,NA
NA,NA,NA,NA,NA
3,NA,9,NA,NA
5,NA,14,NA,NA
3,5,2,NA,5
3,5.5,NA,NA,5.5
3,4.25,0,5.1,4.25
3,NA,10,NA,NA
5,NA,1,NA,NA
NA,NA,NA,NA,NA
5,NA,NA,NA,NA
3,NA,8,NA,NA
3,NA,13,NA,NA
6,NA,0,NA,NA
6,NA,2,NA,NA
6,NA,0,NA,NA
2,5.5,NA,NA,5.5
2,4.75,NA,NA,4.75
NA,NA,14,NA,NA
1,NA,1,NA,NA
0,NA,8,NA,NA
4,NA,1,NA,NA
NA,NA,12,NA,NA
3,NA,4,NA,NA
5,4,NA,NA,4
0,NA,8,NA,NA
5,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
0,NA,4,NA,NA
NA,NA,NA,NA,NA
4,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
2,NA,30,NA,NA
6,NA,0,NA,NA
6,NA,1,NA,NA
3,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,4.25,NA,NA,4.25
2,NA,30,NA,NA
NA,NA,3,NA,NA
5,3.5,NA,NA,3.5
5,NA,0,NA,NA
6,4,NA,NA,4
2,NA,2,NA,NA
3,NA,9,NA,NA
5,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,5,NA,NA
NA,NA,NA,NA,NA
4,NA,11,NA,NA
3,NA,10,NA,NA
4,5.25,5,NA,5.25
4,NA,0,NA,NA
2,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,135,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,4,NA,NA,4
6,NA,0,NA,NA
2,NA,30,NA,NA
NA,NA,NA,NA,NA
4,4.5,NA,NA,4.5
6,NA,3,NA,NA
NA,NA,NA,NA,NA
5,NA,4,NA,NA
5,NA,1,NA,NA
NA,NA,NA,NA,NA
6,NA,4,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
6,NA,1,NA,NA
5,NA,4,NA,NA
2,4.25,NA,NA,4.25
1,NA,2,NA,NA
5,3.75,0,NA,3.75
5,3.5,3,5,3.5
5,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
0,NA,0,NA,NA
5,NA,7,NA,NA
NA,NA,NA,NA,NA
4,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,1,NA,NA
2,NA,10,NA,NA
3,2.75,NA,NA,2.75
NA,NA,NA,NA,NA
5,4.25,NA,NA,4.25
2,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,0,NA,NA
NA,NA,NA,NA,NA
5,NA,5,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
5,NA,3,NA,NA
4,NA,1,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
1,7,NA,NA,7
6,NA,NA,NA,NA
3,NA,NA,NA,NA
2,NA,10,NA,NA
6,NA,0,NA,NA
3,5.75,NA,NA,5.75
2,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,7,NA,NA
1,NA,2,NA,NA
5,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
NA,NA,NA,NA,NA
5,3,NA,NA,3
4,NA,3,NA,NA
6,NA,0,NA,NA
3,NA,NA,NA,NA
6,NA,0,NA,NA
6,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,6.25,NA,NA,6.25
3,4.75,NA,NA,4.75
5,NA,0,NA,NA
NA,NA,1,NA,NA
NA,NA,NA,NA,NA
4,NA,0,NA,NA
NA,NA,NA,NA,NA
4,NA,3,NA,NA
1,NA,3,NA,NA
3,5.25,NA,NA,5.25
1,6.5,3,5.45,6.5
1,6.25,1,NA,6.25
2,6.25,NA,NA,6.25
3,NA,4,NA,NA
4,NA,27,NA,NA
NA,NA,0,NA,NA
1,NA,3,NA,NA
6,3,3,NA,3
2,NA,4,NA,NA
5,NA,10,NA,NA
NA,NA,2,NA,NA
5,NA,2,NA,NA
NA,NA,NA,NA,NA
2,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,NA,3,NA,NA
1,NA,NA,NA,NA
0,NA,1,NA,NA
5,NA,1,NA,NA
6,2.75,NA,NA,2.75
NA,NA,NA,NA,NA
3,3,NA,NA,3
NA,NA,NA,NA,NA
6,NA,4,NA,NA
3,NA,25,NA,NA
3,NA,12,NA,NA
NA,NA,NA,NA,NA
1,NA,NA,NA,NA
3,NA,0,NA,NA
5,5,NA,NA,5
2,NA,0,NA,NA
2,5.75,NA,NA,5.75
4,4,NA,NA,4
NA,NA,1,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,15,NA,NA
5,NA,1,NA,NA
6,5,NA,NA,5
0,NA,1,NA,NA
5,6.5,8,3.75,6.5
5,6.25,2,NA,6.25
5,6.5,NA,NA,6.5
6,NA,0,NA,NA
NA,NA,3,NA,NA
4,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
3,NA,2,NA,NA
3,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,NA,5,NA,NA
5,NA,2,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
4,NA,3,NA,NA
5,NA,10,NA,NA
6,4.25,7,NA,4.25
6,4.5,NA,NA,4.5
5,4.75,NA,NA,4.75
2,NA,2,NA,NA
5,NA,2,NA,NA
5,NA,0,NA,NA
6,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,NA,2,NA,NA
4,NA,3,NA,NA
6,4,NA,NA,4
6,4.5,NA,NA,4.5
6,NA,NA,NA,NA
6,2,NA,NA,2
NA,NA,4,NA,NA
6,NA,0,NA,NA
3,5.75,NA,NA,5.75
2,5,1,NA,5
1,5.5,1,NA,5.5
4,NA,0,NA,NA
NA,NA,5,NA,NA
NA,NA,NA,NA,NA
6,4.25,NA,NA,4.25
4,4.75,NA,NA,4.75
2,NA,3,NA,NA
NA,NA,NA,NA,NA
6,NA,10,NA,NA
NA,NA,NA,NA,NA
3,5.5,NA,NA,5.5
0,NA,4,NA,NA
4,4.5,NA,NA,4.5
3,5.5,NA,NA,5.5
NA,NA,1,NA,NA
1,7,NA,NA,7
1,4.75,NA,NA,4.75
6,4,NA,NA,4
NA,NA,NA,NA,NA
5,NA,0,NA,NA
6,4.25,NA,NA,4.25
